,cari_category,municipality,cost_food_total,household_size,government_assistance
173,Moderate Insecurity,medellin,323000.0,260,0.4406779661016949
174,Moderate Insecurity,medio_atrato,267500.0,57,0.7857142857142857
175,Moderate Insecurity,mitu,374000.0,68,0.6923076923076923
176,Moderate Insecurity,mocoa,276500.0,130,0.78125
177,Moderate Insecurity,mongua,283000.0,26,1.0
178,Moderate Insecurity,montenegro,340000.0,26,0.4
179,Moderate Insecurity,monteria,372000.0,388,0.7931034482758621
180,Moderate Insecurity,morelia,139300.0,11,1.0
181,Moderate Insecurity,neiva,440000.0,129,0.7741935483870968
182,Moderate Insecurity,nunchia,418500.0,24,0.6666666666666666
183,Moderate Insecurity,ocana,262000.0,7,1.0
184,Moderate Insecurity,pailitas,244000.0,29,1.0
185,Moderate Insecurity,pasto,380500.0,145,0.5294117647058824
186,Moderate Insecurity,paz_de_ariporo,307000.0,40,0.8888888888888888
187,Moderate Insecurity,pedraza,586000.0,52,1.0
188,Moderate Insecurity,pereira,296600.0,94,0.5
189,Moderate Insecurity,piedecuesta,570000.0,57,0.6363636363636364
190,Moderate Insecurity,pitalito,333000.0,62,0.46153846153846156
191,Moderate Insecurity,popayan,312000.0,141,0.7142857142857143
192,Moderate Insecurity,puerto_berrio,303500.0,69,0.75
193,Moderate Insecurity,puerto_gaitan,331000.0,52,0.6666666666666666
194,Moderate Insecurity,puerto_guzman,287000.0,36,0.7272727272727273
195,Moderate Insecurity,puerto_leguizamo,406700.0,102,0.7727272727272727
196,Moderate Insecurity,puerto_libertador,310000.0,145,0.967741935483871
197,Moderate Insecurity,puerto_narino,444500.0,31,0.5
198,Moderate Insecurity,puerto_rondon,540000.0,48,0.8461538461538461
199,Moderate Insecurity,quibdo,315000.0,169,0.717948717948718
200,Moderate Insecurity,riohacha,489000.0,253,0.7441860465116279
201,Moderate Insecurity,riosucio,272250.0,77,0.6363636363636364
202,Moderate Insecurity,rosas,180000.0,11,0.75
203,Moderate Insecurity,sabanagrande,475000.0,37,0.7777777777777778
204,Moderate Insecurity,saladoblanco,464000.0,41,0.7142857142857143
205,Moderate Insecurity,san_andres,560000.0,67,0.375
206,Moderate Insecurity,san_andres_de_tumaco,480000.0,92,0.8888888888888888
207,Moderate Insecurity,san_jose_de_cucuta,394000.0,261,0.8253968253968254
208,Moderate Insecurity,san_lorenzo,228000.0,55,0.8125
209,Moderate Insecurity,san_martin,192000.0,17,0.8
210,Moderate Insecurity,san_miguel,519000.0,50,0.9090909090909091
211,Moderate Insecurity,san_vicente_del_caguan,337500.0,54,0.8181818181818182
212,Moderate Insecurity,sandona,285000.0,46,0.7692307692307693
213,Moderate Insecurity,santa_marta,337000.0,286,0.4126984126984127
214,Moderate Insecurity,santa_rosa_de_cabal,231000.0,41,0.7272727272727273
215,Moderate Insecurity,santafe_de_antioquia,422500.0,26,0.25
216,Moderate Insecurity,santiago,311500.0,48,1.0
217,Moderate Insecurity,saravena,212700.0,74,0.6956521739130435
218,Moderate Insecurity,sardinata,442000.0,29,0.8888888888888888
219,Moderate Insecurity,sesquile,532000.0,21,0.4
220,Moderate Insecurity,sincelejo,416750.0,277,0.8870967741935484
221,Moderate Insecurity,soacha,465000.0,188,0.5116279069767442
222,Moderate Insecurity,sogamoso,302000.0,47,0.8181818181818182
223,Moderate Insecurity,sonson,269200.0,54,0.7272727272727273
